image,left,right
image_s35_001,real,fake
image_s35_002,real,fake
image_s35_004,real,fake
image_s35_005,real,fake
image_s35_007,real,fake
image_s35_009,real,fake
image_s35_010,real,fake
image_s35_011,real,fake
image_s35_014,real,fake
image_s35_015,real,fake
image_s35_016,real,fake
image_s35_018,real,fake
image_s35_019,fake,real
image_s35_022,real,fake
image_s35_023,real,fake
image_s35_024,fake,real
image_s35_026,fake,real
image_s35_032,fake,real
image_s35_033,real,fake
image_s35_034,fake,real
image_s35_036,fake,real
image_s35_038,fake,real
image_s35_040,real,fake
image_s35_041,real,fake
image_s35_043,real,fake
image_s35_045,fake,real
image_s35_047,fake,real
image_s35_048,real,fake
image_s35_049,real,fake
image_s35_050,fake,real
image_s35_051,fake,real
image_s35_055,real,fake
image_s35_057,real,fake
image_s35_061,fake,real
image_s35_062,real,fake
image_s35_064,real,fake
image_s35_067,fake,real
image_s35_069,fake,real
image_s35_071,real,fake
image_s35_074,real,fake
image_s35_075,fake,real
image_s35_078,fake,real
image_s35_080,fake,real
image_s35_081,fake,real
image_s35_082,fake,real
image_s35_083,real,fake
image_s35_084,fake,real
image_s35_086,real,fake
image_s35_089,fake,real
image_s35_090,fake,real
image_s35_091,real,fake
image_s35_092,fake,real
image_s35_093,fake,real
image_s35_097,real,fake
image_s35_100,real,fake
image_s35_102,fake,real
image_s35_104,fake,real
image_s35_105,fake,real
image_s35_106,fake,real
image_s35_107,real,fake
image_s35_108,fake,real
image_s35_110,fake,real
image_s35_111,real,fake
image_s35_113,fake,real
image_s35_114,fake,real
image_s35_115,fake,real
image_s35_116,fake,real
image_s35_117,real,fake
image_s35_118,fake,real
image_s35_119,real,fake
image_s35_121,fake,real
image_s35_122,fake,real
image_s35_124,fake,real
image_s35_125,fake,real
image_s35_126,fake,real
image_s35_127,real,fake
image_s35_128,real,fake
image_s35_131,fake,real
image_s35_133,real,fake
image_s35_134,fake,real
image_s35_135,fake,real
image_s35_136,real,fake
image_s35_137,fake,real
image_s35_139,real,fake
image_s35_142,real,fake
image_s35_143,real,fake
image_s35_146,fake,real
image_s35_147,fake,real
image_s35_148,real,fake
image_s35_149,real,fake
image_s35_150,real,fake
image_s35_156,fake,real
image_s35_157,real,fake
image_s35_159,real,fake
image_s35_162,real,fake
image_s35_164,fake,real
image_s35_166,fake,real
image_s35_167,fake,real
image_s35_170,fake,real
image_s35_171,fake,real
image_s35_173,real,fake
image_s35_175,real,fake
image_s35_176,fake,real
image_s35_178,fake,real
image_s35_181,real,fake
image_s35_182,fake,real
image_s35_185,real,fake
image_s35_190,real,fake
image_s35_193,real,fake
image_s35_195,real,fake
